real_duid,station_id,participant_id,region,capacity_proxy_mw,synthetic_gen_bus,synthetic_gen_max_p_mw,capacity_diff_mw,rationale
PPCCGT,NPPPPS,NPSAIL,SA1,233.28,1685,203.926,29.354,"nameplate-capacity proximity: real day-max SCADA 233.3 MW vs synthetic gen max_p_mw 203.9 MW at bus 1685 (diff 29.4 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
OSB-AG,OSBORNE,BORAL,SA1,192.3,1684,194.911,2.611,"nameplate-capacity proximity: real day-max SCADA 192.3 MW vs synthetic gen max_p_mw 194.9 MW at bus 1684 (diff 2.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
GSWF1A,GSWF1A,GSWF1A,SA1,191.32,1684,194.911,3.591,"nameplate-capacity proximity: real day-max SCADA 191.3 MW vs synthetic gen max_p_mw 194.9 MW at bus 1684 (diff 3.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
GSWF1B1,GSWF1B,GSWF1B,SA1,177.12,1695,175.505,1.615,"nameplate-capacity proximity: real day-max SCADA 177.1 MW vs synthetic gen max_p_mw 175.5 MW at bus 1695 (diff 1.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
BARKIPS1,BARKIPS,TIPSCO,SA1,159.59,1690,159.278,0.312,"nameplate-capacity proximity: real day-max SCADA 159.6 MW vs synthetic gen max_p_mw 159.3 MW at bus 1690 (diff 0.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
SNOWNTH1,SNOWNTH,SNOWNTH,SA1,123.5,1639,121.984,1.516,"nameplate-capacity proximity: real day-max SCADA 123.5 MW vs synthetic gen max_p_mw 122.0 MW at bus 1639 (diff 1.5 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
SNOWSTH1,SNOWSTH,SNOWSTH,SA1,123.1,1639,121.984,1.116,"nameplate-capacity proximity: real day-max SCADA 123.1 MW vs synthetic gen max_p_mw 122.0 MW at bus 1639 (diff 1.1 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
QPS5,QUARANTN,BORAL,SA1,120.36,1639,121.984,1.624,"nameplate-capacity proximity: real day-max SCADA 120.4 MW vs synthetic gen max_p_mw 122.0 MW at bus 1639 (diff 1.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
PAREPW1,PAREP,BBPEM,SA1,118.62,1639,121.984,3.364,"nameplate-capacity proximity: real day-max SCADA 118.6 MW vs synthetic gen max_p_mw 122.0 MW at bus 1639 (diff 3.4 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
NBHWF1,NBHWF,TIPSCO,SA1,116.1,1653,111.761,4.339,"nameplate-capacity proximity: real day-max SCADA 116.1 MW vs synthetic gen max_p_mw 111.8 MW at bus 1653 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
LKBONNY2,LKBONNY_2,LKBWIND,SA1,106.066,1681,104.504,1.561,"nameplate-capacity proximity: real day-max SCADA 106.1 MW vs synthetic gen max_p_mw 104.5 MW at bus 1681 (diff 1.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
